fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol
10.1,0.37,0.34,0.085,17.0,0.99683,0.65,10.6
5.6,0.31,0.37,0.074,96.0,0.9954,0.58,9.2
9.4,0.5,0.34,0.0819999999999999,14.0,0.9987,0.52,10.7
9.649999999999999,0.35,0.49,0.066,35.0,0.9984,0.66,12.0
7.2,0.52,0.07,0.074,20.0,0.9973,0.81,9.6
7.7,0.39,0.12,0.0969999999999999,27.0,0.99596,0.49,9.4
11.5,0.59,0.59,0.087,49.0,0.9988,0.65,11.0
11.1,0.31,0.53,0.06,10.0,0.99572,0.83,10.9
8.3,0.6,0.25,0.118,38.0,0.99616,0.53,9.8
11.4,0.36,0.69,0.09,21.0,1.0,0.62,9.2
5.2,0.49,0.26,0.09,74.0,0.9953,0.62,12.2
8.2,0.44,0.24,0.063,28.0,0.99613,0.53,10.2
6.5,0.39,0.23,0.051,91.0,0.9952,0.55,12.1
8.2,0.33,0.39,0.074,48.0,0.99528,0.88,12.4
7.4,0.64,0.07,0.1,23.0,0.9961,0.58,9.6
9.1,0.36,0.39,0.06,55.0,0.99495,0.82,11.0
7.1,0.59,0.0,0.091,14.0,0.99488,0.55,11.5
10.4,0.61,0.49,0.094,16.0,0.9994,0.63,8.4
7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5
7.1,0.67,0.0,0.083,27.0,0.99768,0.54,9.4
7.5,0.61,0.2,0.076,60.0,0.99494,0.4,9.3
8.0,0.52,0.03,0.07,35.0,0.99575,0.57,10.0
7.9,0.49,0.32,0.0819999999999999,37.5,0.9968,0.55,9.5
9.3,0.43,0.44,0.085,22.0,0.99708,0.55,9.5
9.4,0.3,0.56,0.08,17.0,0.9964,0.92,11.7
8.2,0.57,0.26,0.06,65.0,0.9959,0.43,10.1
6.5,0.53,0.06,0.063,44.0,0.99489,0.83,10.3
7.7,0.63,0.08,0.076,27.0,0.9967,0.54,9.5
6.2,0.56,0.09,0.053,32.0,0.99402,0.6,11.3
10.0,0.58,0.22,0.08,32.0,0.9974,0.55,9.5
8.6,0.83,0.0,0.095,43.0,0.99822,0.6,10.4
7.5,0.49,0.2,0.0785,14.0,0.9968,0.9,10.5
7.8,0.54,0.26,0.088,48.0,0.9981,0.74,9.2
9.2,0.53,0.24,0.078,17.0,0.99788,0.57,9.5
6.9,0.48,0.2,0.0819999999999999,23.0,0.99585,0.43,9.05
6.8,0.65,0.02,0.078,15.0,0.99498,0.62,10.4
5.8,0.29,0.26,0.063,11.0,0.993865,0.54,13.5
8.9,0.84,0.34,0.05,10.0,0.99554,0.48,9.1
8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3
11.5,0.315,0.54,0.084,15.0,0.9987,0.7,9.2
11.1,0.39,0.54,0.095,101.0,1.0001,0.51,9.5
6.7,0.46,0.24,0.077,34.0,0.9948,0.6,10.6
10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9
5.9,0.61,0.08,0.071,24.0,0.99376,0.77,11.1
9.9,0.35,0.38,0.0579999999999999,47.0,0.99676,0.82,10.6
7.7,0.69,0.05,0.075,27.0,0.9974,0.61,9.1
7.5,0.4,0.12,0.092,53.0,0.9967,0.7,10.3
10.2,0.44,0.42,0.071,20.0,0.99566,0.79,11.1
7.1,0.39,0.12,0.065,24.0,0.99252,0.53,13.3
8.2,0.7,0.23,0.099,81.0,0.9973,0.7,9.4
11.1,0.31,0.53,0.06,10.0,0.99572,0.83,10.9
9.2,0.46,0.23,0.091,77.0,0.99922,0.51,9.4
6.9,0.63,0.33,0.07100000000000001,115.0,0.99787,0.56,9.5
6.966666666666667,0.645,0.49,0.095,23.0,0.9956666666666666,0.74,11.1
7.8,0.32,0.44,0.104,17.0,0.99732,0.78,11.0
8.1,0.575,0.22,0.077,65.0,0.9967,0.51,9.2
10.9,0.39,0.47,0.118,14.0,0.9982,0.75,9.8
7.1,0.46,0.14,0.076,37.0,0.99624,0.49,10.7
6.2,0.36,0.24,0.095,42.0,0.9946,0.57,11.7
9.5,0.735,0.1,0.079,31.0,0.9986,0.56,10.1
8.2,0.74,0.09,0.067,10.0,0.99418,0.57,11.8
7.9,0.58,0.23,0.076,94.0,0.99686,0.58,9.5
7.9,0.765,0.0,0.084,22.0,0.99619,0.68,10.9
8.6,0.49,0.28,0.11,35.5,0.9972,0.615,9.9
6.4,0.67,0.08,0.045,48.0,0.9949,0.49,11.4
12.3,0.5,0.49,0.089,14.0,1.0002,0.44,9.6
7.7,0.835,0.0,0.081,14.0,0.9975,0.52,9.3
10.4,0.28,0.54,0.105,19.0,0.9988,0.63,9.5
7.4,0.36,0.3,0.074,24.0,0.99419,0.7,11.4
8.2,0.32,0.42,0.098,9.0,0.99506,0.55,12.3
9.1,0.45,0.35,0.08,78.0,0.9987,0.62,9.5
8.2,0.34,0.38,0.08,57.0,0.9978,0.47,9.0
6.7,0.48,0.08,0.067,32.0,0.99648,0.57,11.0
5.9,0.44,0.0,0.042,11.0,0.9944,0.85,11.7
11.266666666666667,0.46,0.63,0.071,15.0,0.9988,0.87,10.2
7.0,0.57,0.0,0.095,45.0,0.99676,0.6,9.4
7.8,0.55,0.35,0.074,66.0,0.9974,0.56,9.2
7.2,0.57,0.05,0.081,36.0,0.99564,0.6,10.3
11.9,0.38,0.49,0.098,42.0,1.0004,0.61,10.3
10.5,0.26,0.47,0.078,24.0,0.9976,0.8266666666666667,10.9
6.4,0.57,0.12,0.0885,36.0,0.99519,0.71,11.3
7.6,0.43,0.4,0.0819999999999999,11.0,0.99538,0.54,12.2
12.0,0.39,0.66,0.093,30.0,0.9996,0.63,10.8
10.3,0.59,0.42,0.09,73.0,0.999,0.7,9.5
7.5,0.38,0.57,0.106,12.0,0.99605,0.55,11.4
10.6,0.515,0.43,0.076,88.0,0.9984,0.57,10.1
11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8
8.1,0.87,0.0,0.084,31.0,0.99656,0.5,9.8
6.0,0.42,0.19,0.075,47.0,0.99522,0.78,10.0
8.8,0.52,0.34,0.087,122.0,0.9982,0.61,9.5
6.9,0.49,0.19,0.079,26.0,0.99547,0.64,9.8
7.2,0.37,0.32,0.062,28.0,0.9947,0.73,11.3
7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7
8.1,0.78,0.1,0.09,13.0,0.99855,0.49,9.5
8.9,0.5,0.21,0.088,39.0,0.99692,0.83,11.1
10.8,0.89,0.3,0.06924999999999998,60.0,0.99786,0.635,10.2
10.2,0.67,0.39,0.054,17.0,0.9976,0.47,10.0
6.7,0.32,0.44,0.061,34.0,0.99484,0.8,11.6
5.6,0.5,0.09,0.049,99.0,0.9937,0.63,13.0
7.5,0.63,0.27,0.083,91.0,0.99616,0.58,9.8
9.7,0.55,0.17,0.087,53.0,1.0004,0.61,9.4
6.8,0.57,0.0,0.072,64.0,0.99491,0.56,11.2
6.8,0.63,0.07,0.089,44.0,0.9953,0.55,10.4
8.3,0.26,0.42,0.08,27.0,0.9974,0.8,9.4
9.4,0.27,0.53,0.074,18.0,0.9962,0.71,12.0
10.9,0.645,0.49,0.095,23.0,1.0002,0.74,11.1
11.5,0.31,0.51,0.079,28.0,0.9982,0.93,9.8
10.7,0.46,0.39,0.061,15.0,0.9981,0.62,9.5
8.1,0.725,0.22,0.072,41.0,0.9967,0.55,9.1
6.3,0.51,0.13,0.076,40.0,0.99574,0.75,11.0
8.8,0.46,0.45,0.065,18.0,0.9947,0.79,10.35
8.8,0.42,0.21,0.092,88.0,0.99823,0.52,9.2
7.4,0.58,0.0,0.064,11.0,0.99562,0.58,11.3
9.6,0.42,0.35,0.083,38.0,0.99622,0.66,11.1
6.8,0.61,0.2,0.077,65.0,0.9971,0.58,9.3
7.2,0.415,0.36,0.081,45.0,0.9972,0.64,9.2
9.4,0.34,0.37,0.075,13.0,0.998,0.62,9.2
7.4,0.49,0.27,0.071,25.0,0.99388,0.63,12.0
10.3,0.5,0.42,0.069,51.0,0.9982,0.72,11.5
10.6,0.36,0.59,0.09133333333333334,18.0,0.9986,0.8333333333333334,9.4
6.7,0.54,0.13,0.076,36.0,0.9973,0.64,9.8
6.6,0.44,0.15,0.076,53.0,0.9957,0.62,9.3
8.6,0.8,0.11,0.084,31.0,0.9979,0.48,9.9
8.8,0.66,0.26,0.074,23.0,0.9971,0.74,9.2
7.4,0.59,0.08,0.086,29.0,0.9974,0.5,9.0
8.3,0.42,0.38,0.094,60.0,0.9979,0.7,10.8
10.0,0.73,0.43,0.059,31.0,0.9966,0.57,11.0
7.5,0.58,0.14,0.077,60.0,0.9963,0.59,9.8
9.4,0.33,0.59,0.079,30.0,0.9976,0.54,12.0
7.1,0.43,0.17,0.0819999999999999,51.0,0.99634,0.64,10.4
5.9,0.29,0.25,0.067,60.0,0.99721,0.54,10.3
7.8,0.5,0.12,0.0735,21.0,0.996,0.87,9.8
10.2,0.29,0.65,0.075,17.0,0.99565,0.63,11.8
7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4
7.8,0.5,0.09,0.115,42.0,0.9971,0.62,9.5
6.9,0.63,0.01,0.076,39.0,0.99522,0.53,10.8
9.0,0.58,0.25,0.104,21.0,0.99769,0.72,9.6
7.0,0.5,0.14,0.078,23.0,0.99636,0.61,10.4
6.3,0.39,0.08,0.066,20.0,0.9954,0.58,9.4
7.8,0.43,0.7,0.0775,67.0,0.9974,0.565,9.4
6.0,0.64,0.05,0.066,17.0,0.99496,0.78,10.6
8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3
